time,Compression Type,Page Size,Cluster Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-15_14:34:52,lz4,524288,20971520,2,False,7.53,0.55,32.894,-10.839,1097420857,1414.805,497154.0,1424.8,1416.5,1430.4,1412.8,1367.3,1421.7,1397.8,1415.8,1430.8,1430.2,497072.0,496840.0,497136.0,497472.0,497372.0,497152.0,497496.0,497016.0,496912.0,497072.0
23-06-15_14:35:46,lz4,524288,31457280,1,False,10.36,0.51,30.857,-0.299,1097845581,1393.120,449878.0,1411.7,1411.6,1396.5,1397.7,1370.6,1373.7,1365.2,1404.7,1399.1,1400.2,449984.0,449596.0,449964.0,449784.0,450204.0,449844.0,449204.0,450096.0,450256.0,449848.0
23-06-15_14:36:39,lz4,1048576,20971520,1,False,9.66,0.61,34.797,-6.430,1096766788,1435.064,477377.6,1428.8,1427.1,1455.7,1438.9,1418.6,1434.8,1440.4,1436.8,1423.3,1446.3,481192.0,497016.0,482492.0,468516.0,466412.0,467712.0,481000.0,466372.0,498276.0,464788.0
23-06-15_14:37:33,lz4,524288,20971520,2,False,7.08,0.55,31.526,-10.836,1097420857,1400.243,497138.8,1407.5,1345.4,1413.4,1402.0,1400.2,1422.5,1405.2,1395.5,1387.3,1423.3,496708.0,496632.0,497416.0,497072.0,497420.0,496892.0,497112.0,497496.0,497152.0,497488.0
23-06-15_14:38:26,lz4,524288,31457280,1,False,10.67,0.51,32.333,-0.847,1097845581,1408.837,452337.2,1402.5,1407.8,1388.8,1412.3,1401.0,1397.1,1428.7,1422.6,1412.4,1415.3,449616.0,475792.0,450116.0,450368.0,449644.0,449440.0,449312.0,449608.0,449672.0,449804.0
23-06-15_14:39:18,lz4,524288,20971520,2,False,7.46,0.55,32.672,-10.829,1097420857,1412.444,497106.8,1406.1,1430.0,1401.2,1335.1,1413.4,1409.0,1443.9,1451.5,1412.4,1421.9,497500.0,497440.0,496664.0,497572.0,496544.0,497188.0,497184.0,496988.0,496800.0,497188.0
23-06-15_14:40:11,lz4,524288,20971520,2,False,7.12,0.55,32.423,-11.621,1097420857,1409.794,500660.4,1426.4,1418.1,1385.9,1399.5,1416.8,1410.2,1407.5,1415.1,1418.8,1399.6,497412.0,497604.0,497148.0,514372.0,514044.0,497348.0,496956.0,497516.0,496936.0,497268.0
23-06-15_14:41:05,lz4,524288,20971520,2,False,6.67,0.55,31.778,-12.327,1097420857,1402.923,503828.0,1399.4,1412.5,1413.1,1394.4,1407.9,1392.5,1352.8,1434.6,1417.3,1404.8,497076.0,496780.0,497224.0,531104.0,496668.0,497332.0,496540.0,497632.0,514356.0,513568.0
23-06-15_14:41:58,lz4,524288,20971520,2,False,7.38,0.55,33.559,-11.977,1097420857,1421.888,502256.8,1407.2,1419.2,1425.9,1414.6,1429.9,1423.7,1437.8,1424.8,1410.5,1425.2,496280.0,514732.0,497488.0,497688.0,497364.0,496792.0,497376.0,496892.0,514352.0,513604.0
23-06-15_14:42:52,lz4,1048576,20971520,1,False,10.31,0.61,36.384,-6.077,1096766788,1451.959,475793.2,1437.4,1449.1,1459.8,1451.4,1447.7,1458.8,1447.0,1456.1,1461.4,1450.9,513536.0,497000.0,465176.0,465196.0,466280.0,482612.0,481924.0,451224.0,467508.0,467476.0
