time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-15_18:27:55,zstd,20971520,524288,2,False,4.95,7.43,17.972,-10.544,1021497693,1239.004,495144.0,1248.2,1233.5,1234.1,1235.1,1240.1,1238.1,1240.9,1238.4,1239.5,1242.1,493344.0,493312.0,493620.0,493432.0,493216.0,493680.0,493524.0,510568.0,493488.0,493256.0
23-06-15_18:28:33,zstd,20971520,524288,2,False,4.34,7.43,16.907,-11.307,1021497693,1227.820,498563.6,1230.2,1229.6,1228.3,1229.5,1231.5,1224.5,1230.1,1221.3,1230.0,1223.3,509720.0,527612.0,493420.0,493412.0,493092.0,493628.0,493860.0,493608.0,493608.0,493676.0
23-06-15_18:29:13,zstd,20971520,1048576,1,False,7.73,7.61,19.897,-4.313,1019514097,1259.219,467234.8,1263.1,1278.0,1264.2,1259.4,1261.1,1261.1,1202.8,1258.1,1260.6,1283.6,467256.0,451396.0,482672.0,467392.0,467116.0,467424.0,467472.0,467384.0,467016.0,467220.0
23-06-15_18:29:51,zstd,31457280,524288,1,True,7.40,7.51,16.084,-1.396,1020647730,1219.172,454170.8,1222.5,1225.9,1216.3,1216.9,1209.7,1216.8,1222.7,1214.1,1225.9,1220.9,451400.0,451292.0,451868.0,477376.0,451336.0,451648.0,451652.0,451588.0,451688.0,451860.0
23-06-15_18:30:30,zstd,41943040,524288,1,False,6.36,7.51,12.311,-0.758,1020562146,1179.550,451312.0,1186.0,1177.3,1179.2,1177.1,1179.2,1181.0,1177.1,1180.5,1173.8,1184.3,450600.0,451272.0,451328.0,451540.0,451256.0,451264.0,451536.0,451524.0,451456.0,451344.0
23-06-15_18:31:22,zstd,31457280,262144,1,False,5.62,5.56,11.738,-0.443,1042166535,1173.527,449898.8,1174.8,1182.3,1175.6,1175.6,1171.1,1166.0,1169.9,1167.2,1175.2,1177.7,447404.0,447116.0,447268.0,447388.0,447568.0,447104.0,447188.0,447108.0,473724.0,447120.0
23-06-15_18:32:14,zstd,31457280,262144,1,False,5.38,5.56,11.601,-1.018,1042166535,1172.092,452476.4,1168.1,1177.2,1161.7,1174.6,1185.1,1170.4,1166.3,1176.5,1168.5,1172.6,447388.0,446904.0,446808.0,447568.0,447292.0,446720.0,500324.0,447192.0,447276.0,447292.0
23-06-15_18:33:07,zstd,31457280,262144,1,False,6.03,5.56,12.348,0.175,1042166535,1179.940,447134.0,1174.3,1184.2,1185.9,1183.5,1179.6,1178.7,1177.3,1178.5,1178.0,1179.3,447076.0,446932.0,447096.0,447300.0,447112.0,447116.0,447104.0,447304.0,447104.0,447196.0
23-06-15_18:33:45,zstd,31457280,524288,2,False,0.89,7.51,15.593,-20.420,1020647730,1214.020,539379.6,1209.8,1212.8,1212.4,1211.9,1221.6,1218.3,1211.3,1217.6,1214.1,1210.4,554628.0,528976.0,554492.0,503160.0,529080.0,554872.0,503272.0,555072.0,555352.0,554892.0
23-06-15_18:34:24,zstd,31457280,524288,2,False,1.19,7.51,15.247,-19.170,1020647730,1210.381,533783.6,1208.2,1216.7,1213.4,1212.2,1214.7,1203.0,1213.4,1207.7,1213.9,1200.6,553456.0,554400.0,554692.0,502960.0,503028.0,477232.0,554488.0,528964.0,554040.0,554576.0
