time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-20_05:14:55,zstd,314572800,8388608,1,True,40.35,39.52,99.713,-18.190,1394823743,1145.725,465404.4,1147.4,1148.4,1144.8,1151.4,1162.6,1150.6,1149.4,1106.3,1155.4,1140.8,465556.0,465516.0,465140.0,465436.0,465132.0,465840.0,464936.0,466112.0,465100.0,465276.0
23-06-20_05:17:00,zstd,314572800,16777216,1,False,18.10,-17.67,85.390,-13.401,2713925432,1063.555,446544.0,1056.9,1057.2,1054.9,1072.2,1071.7,1050.7,1063.8,1066.2,1068.9,1073.0,445988.0,446480.0,447044.0,445844.0,446384.0,447004.0,446532.0,446596.0,446676.0,446892.0
23-06-20_05:18:58,zstd,314572800,8388608,2,True,40.15,39.52,103.017,-22.099,1394823743,1164.681,480793.2,1169.3,1135.2,1161.8,1174.0,1168.3,1169.0,1162.9,1170.0,1168.6,1167.8,480368.0,480836.0,480904.0,481104.0,480932.0,480288.0,481204.0,480832.0,480604.0,480860.0
23-06-20_05:21:02,zstd,314572800,16777216,2,False,10.99,-17.67,72.166,-21.527,2713925432,987.689,478544.0,982.3,997.9,996.1,998.1,955.2,983.4,966.4,994.8,994.6,1007.9,478416.0,478896.0,478152.0,478588.0,478776.0,477896.0,478712.0,478424.0,479068.0,478512.0
23-06-20_05:23:06,zstd,314572800,16777216,2,False,12.25,-17.67,75.932,-21.520,2713925432,1009.299,478514.8,1009.3,1013.0,1021.1,987.1,1008.6,1010.0,998.7,1022.7,1021.5,1001.1,478108.0,478700.0,478660.0,478024.0,478884.0,478896.0,478604.0,478268.0,478388.0,478616.0
23-06-20_05:25:03,zstd,419430400,8388608,2,False,39.90,39.52,102.210,-22.031,1394823743,1160.052,480528.8,1166.4,1170.4,1159.5,1156.8,1155.5,1179.6,1168.6,1128.1,1174.9,1140.6,480652.0,480892.0,480652.0,480464.0,480040.0,480764.0,480868.0,480032.0,480440.0,480484.0
23-06-20_05:27:00,zstd,314572800,8388608,3,False,38.02,39.52,105.264,-30.735,1394823743,1177.568,514800.8,1190.6,1178.0,1164.3,1178.7,1180.7,1180.3,1182.9,1184.9,1183.2,1152.2,515000.0,514684.0,514928.0,515672.0,514716.0,514752.0,514936.0,514428.0,514428.0,514464.0
23-06-20_05:28:57,zstd,314572800,8388608,3,False,38.33,39.52,106.226,-30.755,1394823743,1183.086,514881.2,1188.1,1174.8,1189.1,1181.2,1184.9,1177.4,1182.5,1180.6,1188.0,1184.2,514684.0,514832.0,514708.0,514752.0,515208.0,515032.0,514592.0,515480.0,514768.0,514756.0
23-06-20_05:30:54,zstd,314572800,8388608,1,True,40.63,39.52,100.517,-18.134,1394823743,1150.338,465183.6,1143.4,1144.7,1142.3,1146.1,1159.9,1153.7,1141.7,1160.4,1156.7,1154.6,465384.0,464960.0,464844.0,465180.0,465000.0,465652.0,464808.0,465652.0,465460.0,464896.0
23-06-20_05:32:52,zstd,314572800,8388608,2,True,40.05,39.52,102.661,-22.044,1394823743,1162.638,480580.4,1169.3,1167.1,1181.6,1173.4,1126.0,1171.3,1167.2,1154.6,1170.1,1145.9,480660.0,480920.0,480604.0,480576.0,480184.0,480360.0,480824.0,481248.0,480532.0,479896.0
