time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-17_06:36:33,zstd,31457280,2097152,1,False,15.66,20.72,18.081,8.171,865028901,1269.962,453231.6,1278.5,1234.5,1278.7,1275.3,1270.8,1272.5,1272.1,1277.6,1282.4,1257.3,452436.0,452716.0,455060.0,454764.0,452720.0,452424.0,452668.0,452648.0,454440.0,452440.0
23-06-17_06:38:05,zstd,20971520,2097152,2,False,17.56,20.77,20.134,11.782,864455682,1292.049,435408.8,1288.6,1301.8,1286.9,1284.7,1298.9,1286.9,1294.3,1288.7,1291.2,1298.5,435416.0,435616.0,435228.0,435612.0,435364.0,435416.0,435520.0,435424.0,435156.0,435336.0
23-06-17_06:39:39,zstd,31457280,2097152,1,False,15.70,20.72,18.131,8.246,865028901,1270.502,452862.4,1279.3,1272.5,1259.5,1265.6,1274.4,1274.3,1270.0,1269.8,1270.8,1268.8,452856.0,452936.0,452944.0,452560.0,452588.0,452276.0,454780.0,452296.0,452552.0,452836.0
23-06-17_06:41:11,zstd,20971520,1048576,1,True,19.02,20.77,19.979,16.325,864455682,1290.378,412988.0,1285.6,1293.0,1288.8,1288.0,1292.9,1296.2,1285.3,1291.3,1293.5,1289.1,412296.0,413068.0,412760.0,413580.0,412484.0,412288.0,413532.0,413060.0,413272.0,413540.0
23-06-17_06:42:43,zstd,31457280,1048576,1,False,14.04,20.73,13.192,8.203,864908320,1217.388,453072.4,1213.8,1219.4,1220.0,1211.8,1194.4,1225.5,1219.4,1210.2,1251.7,1207.7,448596.0,446380.0,448400.0,448304.0,465916.0,448656.0,447436.0,465056.0,446768.0,465212.0
23-06-17_06:44:15,zstd,31457280,1048576,1,False,13.57,20.73,12.253,7.735,864908320,1207.287,455382.8,1195.8,1211.4,1202.5,1231.9,1227.9,1192.1,1206.9,1214.3,1182.7,1207.3,466740.0,448644.0,466972.0,446840.0,446768.0,466544.0,467216.0,448084.0,448292.0,447728.0
23-06-17_06:45:47,zstd,20971520,2097152,1,True,19.04,20.77,20.077,16.278,864455682,1291.435,413219.2,1317.4,1286.0,1289.7,1296.4,1277.2,1287.7,1282.9,1292.4,1290.1,1294.6,412676.0,413340.0,413064.0,413916.0,413140.0,413256.0,413160.0,413440.0,412872.0,413328.0
23-06-17_06:47:20,zstd,20971520,2097152,2,False,17.37,20.77,19.992,11.351,864455682,1290.515,437534.0,1293.8,1291.3,1294.2,1293.1,1294.5,1279.9,1295.0,1287.0,1289.0,1287.3,435624.0,446468.0,434952.0,446172.0,435408.0,435420.0,435604.0,435136.0,435132.0,435424.0
23-06-17_06:48:52,zstd,20971520,2097152,2,False,17.66,20.77,20.409,11.816,864455682,1295.003,435239.6,1302.0,1301.5,1296.0,1284.0,1299.5,1294.8,1291.2,1294.5,1294.7,1291.7,435036.0,435596.0,435612.0,435236.0,435040.0,435040.0,435144.0,435604.0,435144.0,434944.0
23-06-17_06:50:24,zstd,31457280,2097152,1,False,15.73,20.72,18.259,8.207,865028901,1271.879,453051.2,1272.6,1271.7,1271.2,1275.6,1274.0,1270.6,1266.9,1276.6,1270.2,1269.5,452336.0,453916.0,452284.0,452596.0,452680.0,451364.0,452692.0,452764.0,455136.0,454744.0
