time,Compression Type,Cluster Size,Page Size,Cluster Bunch,accepted,performance(%),size_decrease(%),throughput_increase(%),memory_usage_decrease(%),size(MB),mean_throughput(MB/s),mean_memory_usage,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,memory_usage_0,memory_usage_1,memory_usage_2,memory_usage_3,memory_usage_4,memory_usage_5,memory_usage_6,memory_usage_7,memory_usage_8,memory_usage_9
23-06-17_09:19:03,lz4,104857600,1048576,1,False,22.50,3.60,57.366,6.541,3339921465,884.725,388748.4,879.4,887.4,882.8,892.6,878.1,871.6,879.3,898.4,877.3,900.4,389124.0,388664.0,388956.0,388104.0,388764.0,388872.0,388288.0,388876.0,389352.0,388484.0
23-06-17_09:24:05,lz4,104857600,524288,2,False,23.09,3.32,59.688,6.258,3349585230,897.781,389925.6,882.5,900.4,902.1,898.2,891.2,904.2,901.0,896.7,906.1,895.5,389724.0,389824.0,389792.0,389436.0,390412.0,390676.0,389828.0,389824.0,389908.0,389832.0
23-06-17_09:29:04,lz4,104857600,524288,2,False,22.31,3.32,57.382,6.239,3349585230,884.816,390004.4,884.3,882.6,893.8,887.6,881.9,883.7,888.2,882.4,882.0,881.7,389920.0,390308.0,389832.0,390940.0,389912.0,389832.0,389444.0,389916.0,390104.0,389836.0
23-06-17_09:34:05,lz4,104857600,1048576,1,False,21.58,3.60,54.632,6.506,3339921465,869.352,388893.2,867.7,873.8,866.7,877.3,861.1,870.7,869.6,874.4,866.6,865.4,389000.0,388580.0,388296.0,388500.0,389252.0,388544.0,389328.0,389068.0,388764.0,389600.0
23-06-17_09:39:03,lz4,209715200,524288,1,True,29.80,3.59,77.525,8.296,3340423756,998.059,381447.6,981.0,1002.0,998.9,988.8,1002.5,1013.9,990.8,1009.6,1003.6,989.5,381776.0,381960.0,380424.0,381768.0,381772.0,380716.0,381580.0,380700.0,381760.0,382020.0
23-06-17_09:44:04,lz4,209715200,262144,1,False,25.96,2.84,66.814,8.230,3366310417,937.839,381722.8,937.0,934.2,929.9,940.4,929.1,941.6,957.7,937.8,935.5,935.2,381856.0,381864.0,382048.0,381836.0,381772.0,381764.0,380996.0,381664.0,381380.0,382048.0
23-06-17_09:49:04,lz4,314572800,524288,1,True,34.70,3.68,92.394,8.036,3337133260,1081.654,382527.2,1081.4,1068.2,1096.1,1077.7,1077.1,1092.0,1083.5,1089.2,1061.2,1090.1,382528.0,382984.0,382536.0,382528.0,382532.0,382524.0,382532.0,382148.0,382424.0,382536.0
23-06-17_09:54:05,lz4,314572800,262144,1,False,24.84,2.92,62.976,8.639,3363568769,916.263,380020.0,913.3,918.4,902.4,928.5,917.0,911.1,914.6,913.8,923.9,919.6,380108.0,380308.0,379840.0,379844.0,380316.0,379928.0,380124.0,380036.0,379660.0,380036.0
23-06-17_09:59:07,lz4,314572800,1048576,1,False,34.40,4.03,91.671,7.485,3325032047,1077.589,384821.6,1116.4,1082.4,1078.1,1083.1,1079.3,1056.7,1064.9,1055.1,1078.4,1081.6,384932.0,384900.0,384840.0,384448.0,384840.0,385000.0,384836.0,384456.0,384652.0,385312.0
23-06-17_10:04:08,lz4,419430400,524288,1,True,35.01,3.70,93.552,7.778,3336617215,1088.165,383599.6,1094.3,1091.9,1065.6,1094.8,1087.7,1112.9,1072.7,1095.4,1092.0,1074.4,383780.0,383512.0,383764.0,383576.0,383712.0,383508.0,383576.0,383308.0,383304.0,383956.0
